An Audio-Based Sports Video Segmentation and Event Detection Algorithm,"M. Baillie, J. M. Jose, ",2004,9,Precise player segmentation in team sports videos using contrast-aware co-segmentation,Classification of gait phases from lower limb EMG: Application to exoskeleton orthosis,Interestingness Detection in Sports Audio Broadcasts,User-driven recognition of audio events in news videos,Methods to Window Data to Differentiate Between Markov Models,A Step Toward Identification of Surgical Actions in Mastoidectomy,Parallel model combination and word recognition in soccer audio,The Multimedian Concert-Video Browser,Broadcast news segmentation by audio type analysis
Language-Independent Clone Detection Applied to Plagiarism Detection,"Romain Brixtel, Mathieu Fontaine, Boris Lesner, Cyril Bazin, Romain Robbes, ",2010,9
Robust road boundary estimation for intelligent vehicles in challenging scenarios based on a semantic graph,"Chunzhao Guo, Takayuki Yamabe, Seiichi Mita, ",2012,9
Segmentation-driven perceptual quality metrics,"A. Cavallaro, S. Winkler, ",2004,8
Picture-graphics color image classification,"S. Prabhakar, Hui Cheng, J. C. Handley, Zhigang Fan, Ying-wei Lin, ",2002,8,Document class recognition using a support vector machine approach,Robust image classification using multi-level neural networks,Detection and segmentation of sweeps in color graphics images,Automatic text detection using multi-layer color quantization in complex color images,Algorithm and architecture design of multi-layer video coding enginewith hybrid scheme for wireless video links,An image classification method based on a SK sub-vector multi-hierarchy clustering algorithm,WEB Image Classification using Classifier Combination,An Ontology-based Approach to Retrieve Digitized Art Images
Geometric Generative Gaze Estimation (G3E) for Remote RGB-D Cameras,"Kenneth Alberto Funes Mora, Jean-Marc Odobez, ",2014,8,Robust and Accurate 3D Head Pose Estimation through 3DMM and Online Head Model Reconstruction,Real time eye gaze tracking with Kinect,A Survey on Gaze Estimation,Appearance-Based Gaze Estimation via Uncalibrated Gaze Pattern Recovery,Real Time Eye Gaze Tracking with 3D Deformable Eye-Face Model,Gaze Estimation From Color Image Based on the Eye Model With Known Head Pose
MsLRR: A Unified Multiscale Low-Rank Representation for Image Segmentation,"Xiaobai Liu, Qian Xu, Jiayi Ma, Hai Jin, Yanduo Zhang, ",2014,8,An Approach to Streaming Video Segmentation With Sub-Optimal Low-Rank Decomposition,Physics-Based Image Segmentation Using First Order Statistical Properties and Genetic Algorithm for Inductive Thermography Imaging,Self-Taught Low-Rank Coding for Visual Learning
Semantic image segmentation using morphological tools,"A. Pardo, ",2002,8,Extraction of semantic objects from still images,Region Based Segmentation Using the Tree of Shapes,Context-based energy estimator: Application to object segmentation on the tree of shapes,Salient level lines selection using the Mumford-Shah functional,A first parallel algorithm to compute the morphological tree of shapes of nD images,Meaningful disjoint level lines selection,A Morphological Tree of Shapes for Color Images,Morphological filtering in shape spaces: Applications using tree-based image representations
Image Categorization by Learning a Propagated Graphlet Path,"Luming Zhang, Richang Hong, Yue Gao, Rongrong Ji, Qionghai Dai, Xuelong Li, ",2016,8,E-CLoG: Counting edge-centric local graphlets,Media Quality Assessment by Perceptual Gaze-Shift Patterns Discovery,Feature Combination via Clustering,Patch Alignment Manifold Matting
Point cloud video object segmentation using a persistent supervoxel world-model,"Jeremie Papon, Tomas Kulvicius, Eren Erdal Aksoy, Florentin W&ouml;rg&ouml;tter, ",2013,8
Fusion of Statistical and Structural Information for Flowchart Recognition,"C&eacute;r&egrave;s Carton, Aur&eacute;lie Lemaitre, Bertrand Co&uuml;asnon, ",2013,8,Detection of Arrows in On-Line Sketched Diagrams Using Relative Stroke Positioning,Combined Segmentation and Recognition of Online Handwritten Diagrams with High Order Markov Random Field,The MUMTDB Dataset for Evaluating Simultaneous Composition of Structured Documents in a Multi-user and Multi-touch Environment,Recognition System for On-Line Sketched Diagrams,On-line handwritten flowchart recognition based on logical structure and graph grammar,Symbol Detection in Online Handwritten Graphics Using Faster R-CNN
Towards an Ontological Approach for Classifying Remote Sensing Images,"Samuel Andr&eacute;s, Damien Arvor, Christelle Pierkot, ",2012,8,On the Use of Ontology as A Priori Knowledge into Constrained Clustering,A knowledge-based procedure for remote sensing image classification,Detection of Oil Spill and Look-Alike from SAR Imagery Based on Ontology and Kernel Fuzzy C-Means
Interactive color image segmentation editor driven by active contour model,"J. Gao, A. Kosaka, A. Kak, ",1999,8,Shape classifier based on generalized probabilistic descent method with hidden Markov descriptor,An edge enhancement technique for image segmentation based on resistive circuit simulation,Accelerated Learning-Based Interactive Image Segmentation Using Pairwise Constraints,Hidden Markov Model-Based Weighted Likelihood Discriminant for 2-D Shape Classification,Automatic 3D Vascular Tree Construction of Perforator Flaps for Plastic Surgery Planning,Hidden Markov Model Based Weighted Likelihood Discriminant for Minimum Error Shape Classification,Multi-visit of Kalman filtering for semantic object tracking,Detecting Occlusion for Hidden Markov Modeled Shapes
Personalized video summarization with human in the loop,"Bohyung Han, Jihun Hamm, Jack Sim, ",2011,8,An approach to personalized video summarization based on user preferences analysis,Orderless Tracking through Model-Averaged Posterior Estimation,Encoded Semantic Tree for Automatic User Profiling Applied to Personalized Video Summarization,Nyström Approximated Temporally Constrained Multisimilarity Spectral Clustering Approach for Movie Scene Detection,Diversity-Aware Multi-Video Summarization,Multi-View Video Summarization Using Bipartite Matching Constrained Optimum-Path Forest Clustering,Qualitative Tracking Performance Evaluation without Ground-Truth,User-based video abstraction using visual features,Personalized video summarization by highest quality frames,Integrated personalized video summarization and retrieval,Contextually Customized Video Summaries Via Natural Language
Execution of a dual-object (pushing) action with semantic event chains,"Eren Erdal Aksoy, Babette Dellen, Minija Tamosiunaite, Florentin W&ouml;rg&ouml;tter, ",2011,8,Structural bootstrapping at the sensorimotor level for the fast acquisition of action knowledge for cognitive robots,Generalizing objects by analyzing language,Multiple object tracking using an RGB-D camera by hierarchical spatiotemporal data association,Toward a library of manipulation actions based on semantic object-action relations,Robot task learning from demonstration using Petri nets,A Simple Ontology of Manipulation Actions Based on Hand-Object Relations
Semantic Analysis for Automatic Event Recognition and Segmentation of Wedding Ceremony Videos,"Wen-Huang Cheng, Yung-Yu Chuang, Yin-Tzu Lin, Chi-Chang Hsieh, Shao-Yen Fang, Bing-Yu Chen, Ja-Ling Wu, ",2008,8,Human action recognition-based video summarization for RGB-D personal sports video,Maximum a Posteriori Probability Estimation for Online Surveillance Video Synopsis,MobiUP: An Upsampling-Based System Architecture for High-Quality Video Streaming on Mobile Devices,Gestalt Rule Feature Points
Co-Annotea: A System for Tagging Relationships Between Multiple Mixed-Media Objects,"Jane Hunter, Ronald Schroeter, ",2008,8,Synergistic Annotation of Multimedia Content,,Using Social Networking and Collections to Enable Video Semantics Acquisition
Semantic Network Array Processor and Its Applications to Image Understanding,"V. Dixit, D. I. Moldovan, ",1987,8,Generalized formulation and hypercube algorithms for relaxation labeling,Stereo by Intra- and Inter-Scanline Search Using Dynamic Programming,Fast and accurate performance simulation of embedded software for MPSoC
Making sense of trajectory data: A partition-and-summarization approach,"Han Su, Kai Zheng, Kai Zeng, Jiamin Huang, Shazia Sadiq, Nicholas Jing Yuan, Xiaofang Zhou, ",2015,8,A Survey on Trajectory Data Mining: Techniques and Applications,Finding Abnormal Vessel Trajectories Using Feature Learning,Automatic user identification method across heterogeneous mobility data sources,An Effective and Efficient Similarity-Matrix-Based Algorithm for Clustering Big Mobile Social Data,SemanticTraj: A New Approach to Interacting with Massive Taxi Trajectories
