Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Constructing Domain Ontology from Texts: A Practical Approach and a Case Study,"William Sousan, Kristina Wylie, Zhengxin Chen, ",2009,1,Using Term Extraction Patterns to Discover Coherent Relationships from Open Source Intelligence,Knowledge engineering approach for constructing ontology for e-Learning services
Feature engineering using shallow parsing in argument classification of Persian verbs,"Parisa Saeedi, Hesham Faili, ",2012,1
Word Embedding based Generalized Language Model for Information Retrieval,"Debasis Ganguly, Dwaipayan Roy, Mandar Mitra, Gareth J. F. Jones, ",2015,1
Korean-Thai Lexicon for Natural Language Processing,"Sukrita Mahahing, Pusadee Seresangtakul, ",2013,1,Isarn Dharma Alphabets lexicon for natural language processing
Classification and Ontology Maintenance in Agent-Based Knowledge Management Frameworks: A Prototypical Approach,"Clarissa Falge, Ruth Cobos, Georg Groh, ",2007,1,Modeling knowledge logical organization with Intelligent Topic Map
Biomarker information extraction tool (BIET) development using natural language processing and machine learning,"Md Tawhidul Islam, M. Shaikh, A. Nayak, S. Ranganathan, ",2010,1
NLP based intelligent news search engine using information extraction from e-newspapers,"Monisha Kanakaraj, S. Sowmya Kamath, ",2014,1,Monitoring Fishy activity of the user in social networking
An effective model for aspect based opinion mining for social reviews,"Jibran Mir, Muhammad Usman, ",2015,1,A proposed system for modifying aspect based opinion mining for ranking of products,Deep CNN-LSTM with combined kernels from multiple branches for IMDb review sentiment analysis
Relation extraction from Traditional Chinese Medicine journal publication,"Jingcheng Wang, Josiah Poon, ",2016,1
Tourist review analytics using complex networks,"Alex Becheru, Florin Buşe, Mihaela Colhon, Costin Bădică, ",2015,1
A Hierarchical Unification of LIRICS and VerbNet Semantic Roles,"Claire Bonial, William Corvey, Martha Palmer, Volha V. Petukhova, Harry Bunt, ",2011,1
Program Synthesis Using Natural Language,"Aditya Desai, Sumit Gulwani, Vineet Hingorani, Nidhi Jain, Amey Karkare, Mark Marron, Sailesh R, Subhajit Roy, ",2016,1,Programming bots by synthesizing natural language expressions into API invocations,Statistical Translation of English Texts to API Code Templates
A 2-phase frame-based knowledge extraction framework,"Francesco Corcoglioniti, Marco Rospocher, Alessio Palmero Aprosio, ",2016,1
Research on the Key Technology Based-NLP Of Chinese Medicine Pulse's Mathematical Quantifying,"Yao Liu, Zhifang Sui, Yang Zhou, Zhenguo Wang, ",2008,1,Research on Automatic Construction of Medical Ontology
Clinical entity recognition using structural support vector machines with rich features,"Buzhou Tang, Hongxin Cao, Yonghui Wu, Min Jiang, Hua Xu, ",2012,1,Named entity recognition for tamil biomedical documents
A fast method for detecting eye accessing cues used in Neuro-Linguistic Programming,"Ruxandra Vr&acirc;nceanu, Constantin Vertan, R&atilde;zvan Condorovici, Laura Florea, Corneliu Florea, ",2011,1,Real-time eye gaze direction classification using convolutional neural network
Bio-inspired computing for launch vehicle design and trajectory optimization,"Sundaram Suresh, Hai-Jun Rong, Narasimhan Sundararajan, ",2009,1,Trajectory optimization of satellite launch vehicle using Self Adaptive Differential Evolution algorithm
Words to phrase reordering machine translation system in Myanmar-English using English grammar rules,"Aye Thida Win, ",2011,1,A methodology for machine translation of simple sentences from Kannada to English language
Requirements Traceability Matrix: Automatic Generation and Visualization,"Andr&eacute; Di Thommazo, Gabriel Malimpensa, Thiago Ribeiro de Oliveira, Guilherme Olivatto, Sandra C. P. F. Fabbri, ",2012,1,An Automatic Approach to Detect Traceability Links Using Fuzzy Logic
DAI interaction protocols as control strategies in a natural language processing system,"J. -L. Koning, M. -H. Stefanini, Y. Demazeau, ",1995,1
Generating formal system models from natural language descriptions,"Rolf Drechsler, Ian G. Harris, Robert Wille, ",2012,1,GLAsT: Learning formal grammars to translate natural language specifications into hardware assertions
A local Latent Semantic Analysis-based kernel for document similarities,"Sujeevan Aseervatham, ",2008,1
Bootstrapping Multilingual Relation Discovery Using English Wikipedia and Wikimedia-Induced Entity Extraction,"Patrick Schone, Tim Allison, Chris Giannella, Craig Pfeifer, ",2011,1,Overcoming Asymmetry in Entity Graphs
Constrained nonlinear predictive control using Volterra models,"F. Dorado, C. Bordons, ",2005,1,System identification and MPC based on the volterra-laguerre model for improvement of the laminator systems performance
Extracting Compact Sets of Features for Question Classification in Cognitive Systems: A Comparative Study,"Marco Pota, Angela Fuggi, Massimo Esposito, Giuseppe De Pietro, ",2015,1
Web text mining using a hybrid system,"F. Hideo Fukuda, E. L. P. Passos, M. Aurelio Pacheco, L. Biondi Neto, J. Valerio, V. De Roberto, E. Restum Antonio, L. Chiganer, ",2000,1,Web mining in soft computing framework: relevance state of the art and future directions
Initial steps in optimal planning of a distribution system,"I. Ziari, G. Ledwich, M. Wishart, A. Ghosh, ",2009,1,Large-Scale MV/LV Transformer Substation Planning Considering Network Costs and Flexible Area Decomposition
Detecting Sarcasm in Multimodal Social Platforms,"Rossano Schifanella, Paloma de Juan, Joel Tetreault, LiangLiang Cao, ",2016,1
Trajectory optimization for Missile-borne SAR imaging phase via Gauss Pseudospectral Method,"Gang Zhang, Ming-bo Zhu, Zhen-bo Zhao, Xiang-ping Li, ",2011,1,Deceptive jamming to missile-borne SAR based on ship-borne jammer
Mr.Web: an automated interactive webmaster,"Andrea Lockerd, Huy Pham, Taly Sharon, Ted Selker, ",2003,1
Detecting Predatory Behavior in Game Chats,"Yun-Gyung Cheong, Alaina K. Jensen, El&iacute;n Rut Gu&eth;nad&oacute;ttir, Byung-Chull Bae, Julian Togelius, ",2015,1
Generic and domain-specific aspects of the Waxholm NLP and dialog modules,"R. Carlson, S. Hunnicutt, ",1996,1,Conversational interfaces: advances and challenges
Design of a high speed string matching co-processor for NLP,"V. S. Murty, P. C. Reghu Raj, S. Raman, ",2003,1,Design of a language-independent parallel string matching unit for NLP
Axiomatizing Relational Network for Knowledge Engineering - Exploring WordNet and FrameNet,"Ian C Chow, TakMing Wong, ",2006,1
Identifying entity aspects in microblog posts,"Damiano Spina, Edgar Meij, Maarten de Rijke, Andrei Oghina, Minh Thuong Bui, Mathias Breuss, ",2012,1
Compute the Term Contributed Frequency,"Cheng-Lung Sung, Hsu-Chun Yen, Wen-Lian Hsu, ",2008,1,Enhancement of unsupervised feature selection for conditional random fields learning in Chinese word segmentation
Robust estimation of image fractal dimension based on pyramidal decomposition,"B. Aiazzi, L. Alparone, S. Baronti, A. Bulletti, A. Garzelli, ",1999,1,Fractal Dimension of Color Fractal Images
Approximate load balance based on ID/Locator split routing architecture,"Sanqi Zhou, Jia Chen, Hongbin Luo, Hongke Zhang, ",2012,1
A novel PSO based OPF for zonal congestion management using optimal real and reactive power dispatch,"E. Muneender, D. M. Vinod Kumar, ",2009,1,Transmission congestion management in deregulated environment: A bibliographical survey
Extracting N-gram terms collocation from tagged Arabic corpus,"Waseem Alromima, Ibrahim F. Moawad, Rania Elgohary, Mostafa Aref, ",2014,1,Identifying concept from English translated Quran
Combining Lexical Resources with Fuzzy Set Theory for Recognizing Textual Entailment,"Jin Feng, Yiming Zhou, Trevor Martin, ",2008,1
Fitting document representation to specific datasets by adjusting membership functions,"Alberto P&eacute;rez Garc&iacute;ia-Plaza, V&iacute;ictor Fresno, Raquel Mart&iacute;inez, ",2012,1,Flexible document organization: Comparing fuzzy and possibilistic approaches
An automated method to extract information in the biomedical literature about interactions between drugs,"D. Mahendran, R. D. Nawarathna, ",2016,1
Mining email transaction logs to locate significant messages and users,"Vatcharaporn Esichaikul, Sumanta Guha, Thanittha Niyamosatha, ",2010,1,Monitoring email transaction logs by text-mining email contents
A Study of Parsing Process on Natural Language Processing in Bahasa Indonesia,"Elisa Margareth Sibarani, Mhd. Nadial, Evy Panggabean, S. Meryana, ",2013,1,Natural language parsing of patient complaints in Indonesian language
An Empirical Investigation of Word Class-Based Features for Natural Language Understanding,"Asli Celikyilmaz, Ruhi Sarikaya, Minwoo Jeong, Anoop Deoras, ",2016,1,Coupled POS Tagging on Heterogeneous Annotations
Automatic extraction of lexical relations from Chinese machine readable dictionary,"Su-Jian Li, Qun Liu, Shuo Bai, Xue-Qi Cheng, ",2001,1,Theses cluster based on bilingual and synonymous keyword sets using mutual information
Exploratory Information Extraction from a Historical Dictionary,"Valeria de Paiva, D&aacute;rio Augusto Borges Oliveira, Suemi Higuchi, Alexandre Rademaker, Gerard de Melo, ",2014,1
Automatic sentiment extraction from YouTube videos,"Lakshmish Kaushik, Abhijeet Sangwan, John H. L. Hansen, ",2013,1,Automatic Sentiment Detection in Naturalistic Audio,Multimodal sentiment analysis and context determination: Using perplexed Bayes classification
"Corrigendum: Algorithm 902: GPOPS, a MATLAB software for solving multiple-phase optimal control problems using the gauss pseudospectral method","Anil V. Rao, David A. Benson, Christopher Darby, Michael A. Patterson, Camila Francolin, Ilyssa Sanders, Geoffrey T. Huntington, ",2011,1
An Investigation of Chinese Selectional Preference Based on HowNet,"Bin Li, Xiaohe Chen, Xuri Tang, ",2010,1,Inducing Chinese Selectional Preference Based on HowNet
Semantic based Chinese sentence sentiment analysis,"Chengxiang Yuan, Yi Zhuang, Haohong Li, ",2011,1,Automatic generation of emotions for social networking websites using text mining
Confidence estimation for NLP applications,"Simona Gandrabur, George Foster, Guy Lapalme, ",2006,1,User-Defined Expected Error Rate in OCR Postprocessing by Means of Automatic Threshold Estimation
Research of the method for obtaining semantic knowledge in the system of CI-NLU based text processing after speech recognition,"Jun Wang, Lei Li, Lixia Long, ",2009,1,Research of the method for obtaining semantic knowledge in the system of CI-NLU based text processing after speech recognition
Word agreement and ordering in English-Arabic machine translation,"Mohammed M. Abu Shquier, Tengku Mohd T. Sembok, ",2008,1,Word agreement and ordering in English-Arabic machine translation
Enriching Electronic Program Guides using semantic technologies and external resources,"Victor Saquicela, Mauricio Espinoza-Mej&iacute;a, Kenneth Palacio, Humberto Alb&aacute;n, ",2014,1,Decategorizing demographically stereotyped users in a semantic recommender system,Towards a multi-screen interactive ad delivery platform,Hybrid electronic program guide application for digital TV receiver
UMTG: a toolset to automatically generate system test cases from use case specifications,"Chunhui Wang, Fabrizio Pastore, Arda Goknil, Lionel C. Briand, Zohaib Iqbal, ",2015,1
Grey relational analysis and natural language Processing,"Arjab Singh Khuman, Yingjie Yang, Sifeng Liu, ",2015,1,R-fuzzy sets and grey system theory
Tactical Clinical Text Mining for Improved Patient Characterization,"Heather Champion, Nick Pizzi, Raja Krishnamoorthy, ",2014,1,Application of formal grammar in text mining and construction of an ontology
Regular expression acceleration on the micron automata processor: Brill tagging as a case study,"Keira Zhou, Jack Wadden, Jeffrey J. Fox, Ke Wang, Donald E. Brown, Kevin Skadron, ",2015,1,A Memory-Efficient GPU Method for Hamming and Levenshtein Distance Similarity,A Dynamically Reconfigurable Automata Processor Overlay,An overview of micron's automata processor
QTIP: multi-agent NLP and privacy architecture for information retrieval in usable Web privacy software,"V. Keselj, D. Jutla, ",2005,1,Adding User-Level SPACe: Security Privacy and Context to Intelligent Multimedia Information Architectures
A foreign vocabulary learning aid for the networked world of tomorrow: the LEARN project,"Daniel Berleant, Steven Lovelady, Karthikeyan Viswanathan, ",1994,1
Cross-Evaluation of Entity Linking and Disambiguation Systems for Clinical Text Annotation,"Camilo Thorne, Stefano Faralli, Heiner Stuckenschmidt, ",2016,1
Hidden Markov Model based Part of Speech Tagging for Nepali language,"Abhijit Paul, Bipul Syam Purkayastha, Sunita Sarkar, ",2015,1,Nepali news classification using Naïve Bayes Support Vector Machines and Neural Networks
Dealing with heterogeneous big data when geoparsing historical corpora,"C. J. Rupp, Paul Rayson, Ian Gregory, Andrew Hardie, Amelia Joulain, Daniel Hartmann, ",2014,1
On simultaneously optimal decentralized performance,"V. Manousiouthakis, D. Sourlas, ",1993,1,Best achievable low order decentralized performance
DBIQS &mdash; An intelligent system for querying and mining databases using NLP,"Rohit Agrawal, Amogh Chakkarwar, Prateek Choudhary, Usha A. Jogalekar, Deepa H. Kulkarni, ",2014,1,IQS-intelligent querying system using natural language processing,An efficient natural language interface to XML database
Learning taxonomic relations from a set of text documents,"Mari-Sanna Paukkeri, Alberto P&eacute;rez Garc&iacute;a-Plaza, Sini Pessala, Timo Honkela, ",2010,1,Fitting document representation to specific datasets by adjusting membership functions
